151	1003 689 43 72 5 155
152	1078 707 747 191 520 1671 1010
153	220 170 27 205
154	211 2 38 568 44 77 109
155	33 7 393 1563 530
156	151 397 325
157	3 279 15 503
158	121 296 168 88
159	51 277 151 1118 1641
160	71 185 204 31 17 185 1133
161	273 33 7 1842
162	1539 395 130 152 816 649 816 228 406 816 817 1043 1539 395 130
163	13 31 1671 338
164	4 409 141 773 257 80 2 13 43
165	449 1704 944 990 1704 1612 771 870 1415 524 870 229
166	868 1117
167	984 348 9 143 14 179 179
168	870 1677 650 701 866 810 1552 698 993
169	89 179 116 657 243
170	1462 109 92 255 1447
171	156 18 65 684 18
172	108 29 47 301 175 694
173	1415 280 293 132
174	252 744
175	1336 101 110 1336 1183 494 1252 931 130 95 931 1506 160 931 35 762
176	1500 74 12 521 74 12
177	750 29 1614
178	462 1587 219 1228
179	21 444 493 35 449
180	260 887 14 707 744 488 650
181	21 123 4 86 1343 975 11 1
182	473 1105 124 12 1018 57 14
183	689 53 329 48 307
184	689 392 240
185	689 48 100 1631 28
186	689 331 772 126
187	689 796
188	1040 817 434 1243 434 76 1663 546 546 1663 546 546 406
189	971 423 29 189 47 241 194
190	169 31 701 81 260 15 892 27 495 288 337 662
191	363 338 823 609
192	363 53 121 643 226
193	363 1466
194	363 336 1681 15 313 77 391
195	363 53 48 90 391
196	1352 34 889
197	508 89 82
198	1704 303 163 1452 513 1316 650 701 866 810 131 163 534 1415 1249 1552 870 303 833 55 303 1370 654 990 146 967 685 967
199	1062 607 490 539 20 61 1170
200	941 712 1379 24 990 921 297 74 24
201	125 444
202	1262 499
203	182 1006
204	525
205	145 14 978 35
206	15 1281 1136 57 4
207	363 172 116 1013 306 1400 744 240 1575
208	1329 369 882
209	78 94 93
210	303 1816
211	971 163 140 223 75
212	440 678 11 18
213	119 14
214	119 548 974 424 72 227
215	119 13 580 250
216	119 13 250 142 661 52 82 306
217	119 13 2 119 7 110 92
218	119 51 340 59
219	119 156 76 1390
220	4 306
221	757 121 482
222	722 102 1266 1309 398 1334 1304 555
223	4 258
224	227 13 411 1052 106 62
225	529 385 10
226	1200 98 519 1165
227	1476 15 3 75
228	390 196 74 1850 166 57
229	254 1030 668 20 262 190 1090 628
230	14 159
231	58
